,Summary Tables,,,,,,,,,,,,,,,,,,,,
,All products,,,,,,,,,,,,,,,,,,,,
,,Year of MFN applied tariff,Binding coverage,Simple average,,Duty-free,,Non ad valorem duties,,Duties > 15 %,,Duties > 3 * AVG,,"Concessions
not yet
implemented
 in 2023",Maximum duty,,Number of distinct duty rates,,Coefficient of variation,,Number of MFN applied tariff lines
,Country/Territory,,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,
,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
356,India                                                                                                                                                 ,2023,74.3,50.8,17,2.2,1.9,5,4.1,71.5,30.9,0.5,2.8,0,300,379,198,158,82,114,"12,302"
360,Indonesia                                                                                                                                             ,2023,96.3,37.1,8,2.4,13.3,0,0.2,90.6,9.3,0.4,5.5,0,210,150,17,21,35,130,"11,413"
376,Israel                                                                                                                                                ,2023,75.6,22.3,1.3,10.7,93.5,6.8,3,20.9,2.4,7.7,6.4,0,560,212,269,186,181,537,"8,961"
388,Jamaica                                                                                                                                               ,2023,100,50,8.5,0.5,58.5,0,0,83.7,26.5,0,8.9,0,100,100,12,11,50,131,"7,945"
392,Japan                                                                                                                                                 ,2023,99.7,4.1,3.7,53,53.9,3.5,3.4,3.6,3.3,4.7,4.7,0,457,457,260,325,286,312,"9,886"
400,Jordan                                                                                                                                                ,2023,100,16.2,4,6.2,56.9,0.2,0.3,47.7,5,0.6,7.9,0,200,200,22,23,92,309,"6,996"
398,Kazakhstan                                                                                                                                            ,2023,100,6.4,5.6,15,26.1,7.8,6.9,0.9,0.6,0.8,0.6,0,207,197,180,178,99,110,"13,258"
404,Kenya                                                                                                                                                 ,2023,16.3,93.8,13.8,0,38,0,8,16.3,35.7,0,0.8,0,100,100,5,40,17,104,"5,956"
296,Kiribati                                                                                                                                              ,2023,,,0,,100,,0,,0,,0,,,2,,2,,"5,926","5,800"
410,"Korea, Republic of                                                                                                                                    ",2023,94.9,17,13.4,16.2,17.6,0.6,0.5,20.4,10.4,2.6,2.6,0,887,887,151,134,337,414,"11,384"
414,"Kuwait, the State of                                                                                                                                  ",2023,99.9,98,4.7,2,10.5,0,1.3,97.9,0.2,0,0.2,0,100,100,2,5,19,131,"7,848"
417,Kyrgyz Republic                                                                                                                                       ,2023,99.9,7.5,6.4,19.6,16.3,0.5,8.8,3,1.2,0.1,0.6,0,135,135,19,253,74,77,"13,110"
418,Lao People's Democratic Republic                                                                                                                      ,2023,100,19.2,8.6,1.1,1.7,0,0,57.1,9.4,0.7,4.1,0,90,40,18,11,59,80,"10,812"
422,Lebanese Republic                                                                                                                                     ,2023,,,11.3,,40.1,,6.3,,10.7,,6.3,,, > 1000,,62,,391,"6,153"
426,Lesotho                                                                                                                                               ,2023,100,79.4,7.5,0,60.6,0,2.5,100,20.2,0,9.1,0,200,111,3,103,61,139,"8,427"
430,Liberia                                                                                                                                               ,2023,100,26.7,12,0.1,1.7,0,0,86.5,38.6,0,0,0,50,35,12,5,38,61,"6,380"
434,Libya                                                                                                                                                 ,2023,,,4.5,,17,,1,,1.2,,1.2,,,30,,5,,78,"5,953"
446,"Macao, China                                                                                                                                          ",2023,30.4,0,0,30.4,100,0,0,0,0,0,0,0,0,0,1,1,0,0,"6,957"
450,Madagascar                                                                                                                                            ,2023,31.2,27.4,12,0.1,5.3,0,0,28.7,39.4,0,0,0,30,20,12,8,21,57,"7,372"
454,Malawi                                                                                                                                                ,2022,35.1,73.2,12.2,0,33.1,0,0,35.1,36.8,0,0,0,125,25,11,8,56,82,"7,199"
458,Malaysia                                                                                                                                              ,2023,83.8,21.1,5.6,5.5,66.8,2.9,0.7,36.5,13.5,1.6,13.5,0, > 1000, > 1000,182,50,318,244,"11,434"
462,Maldives                                                                                                                                              ,2023,94.5,36.9,11.6,0,43.5,0,0,94.5,29,2.4,4.2,0,300,400,2,18,116,185,"8,525"
466,Mali                                                                                                                                                  ,2023,39.5,29.4,12,0.8,1.7,0,0,18.9,38.6,0,0,0,75,35,12,5,89,61,"6,380"
478,Mauritania                                                                                                                                            ,2023,39.7,20.8,12,0.7,2.9,0,0,19,38.8,1.8,0,0,75,35,13,5,88,62,"6,128"
480,Mauritius                                                                                                                                             ,2023,20.4,86.6,0.8,4.9,95.7,0,0,15.5,1,0,4.3,0,122,100,5,5,62,449,"6,855"
484,Mexico                                                                                                                                                ,2023,100,36.2,6.8,0.3,49.4,1,1,98.7,10.7,0.8,2.1,0,254,75,44,26,45,126,"8,127"
583,"Micronesia, Federated States of                                                                                                                       ",2023,,,5,,0,,0.3,,4.7,,4.7,,,288,,9,,133,"5,976"
498,"Moldova, Republic of                                                                                                                                  ",2022,100,6.9,5.3,26.1,37.5,1.2,1.6,2.9,2,0.9,2,0,75,52,33,37,89,108,"9,624"
496,Mongolia                                                                                                                                              ,2023,100,17.4,5.2,1.7,1.3,0,0,76.9,0.9,0,0.9,0,75,40,13,12,37,57,"6,360"
893,Montenegro                                                                                                                                            ,2023,100,5.3,3.7,31,33,0,0.5,3.4,2.9,3.4,4.8,0,50,50,77,60,127,141,"10,282"
504,Morocco                                                                                                                                               ,2023,100,41.3,14,0,0,0,0,99.5,28.7,1.3,1.8,0,289,200,48,17,56,132,"13,012"
508,Mozambique                                                                                                                                            ,2023,14.3,97.7,10.3,0,3.6,0,0,14,34.6,0,0,0,100,20,3,5,15,72,"5,807"
104,Myanmar                                                                                                                                               ,2023,18.6,82.8,7.6,1.2,5.8,0.1,0,14.9,10.8,0.5,5.2,0,550,60,23,13,108,108,"11,848"
516,Namibia                                                                                                                                               ,2023,93.8,19,7.5,14.2,60.6,0,2.5,38.3,20.1,3.3,9.1,0,597,136,58,103,129,140,"8,418"
520,Nauru                                                                                                                                                 ,2023,,,12.6,,4.2,,1.4,,3.3,,1.2,,, > 1000,,37,,342,"5,571"
524,Nepal                                                                                                                                                 ,2023,99.4,26.1,12.7,2.5,3.4,0,1,87,15.9,0.5,2.7,0,200,200,14,32,50,118,"6,293"
554,New Zealand                                                                                                                                           ,2023,100,9.5,1.9,50,66.1,3.1,0.3,29.5,0,7.9,4.5,0,716,45,117,6,149,136,"8,282"
558,Nicaragua                                                                                                                                             ,2023,100,40.9,5.6,1.8,51.6,0,0,98.1,0.7,0.1,0.7,0,200,164,8,12,27,128,"8,199"
562,Niger                                                                                                                                                 ,2023,96.9,45.2,12,0.7,1.7,0,0,76.6,38.6,3.3,0,0,200,35,13,5,76,61,"6,380"
566,Nigeria                                                                                                                                               ,2023,19.7,120.5,12,0,1.7,0,0,19.7,38.6,0,0,0,150,35,7,5,39,61,"6,380"
807,North Macedonia                                                                                                                                       ,2023,100,7,6.5,39.5,44.1,1.4,1.4,11.3,10.8,4.1,5.9,0,65,65,134,160,118,131,"10,277"
578,Norway                                                                                                                                                ,2023,100,22.3,4.6,49.6,89.9,11.5,5.9,7,4.6,6.6,4.8,0, > 1000, > 1000,357,296,323,512,"7,405"
512,Oman                                                                                                                                                  ,2023,100,14.1,5.6,6.1,10.5,0,0.6,5.5,1.1,1.4,1.1,0,200,200,15,9,138,207,"7,848"
586,Pakistan                                                                                                                                              ,2023,98.6,60.8,10.3,0,31.1,0.1,0.8,95,39.1,0,2.3,0,200,130,17,32,37,109,"7,578"
585,Palau                                                                                                                                                 ,2022,,,4,,16.9,,2.3,,1,,1.1,,,922,,15,,542,"6,065"
591,Panama                                                                                                                                                ,2023,100,22.6,5.1,4.1,56.8,0.2,0,66.8,1.2,0.5,1.2,0,260,260,48,30,64,186,"9,678"
598,Papua New Guinea                                                                                                                                      ,2023,100,32.8,4.2,0,76.5,1,1.2,71.3,6.4,0.6,16.6,0,161,161,25,29,58,250,"6,068"
600,Paraguay                                                                                                                                              ,2023,100,33.4,8.6,0,28.7,0,0,94.8,20.4,0,0.4,0,35,35,7,48,22,94,"10,497"
604,Peru                                                                                                                                                  ,2023,100,29.6,2.3,1.8,69.1,0,0,98.2,0,0,9.4,0,68,11,3,3,20,165,"8,002"
608,Philippines                                                                                                                                           ,2023,67.6,24.9,6,5,13.2,0,0,54.8,3.2,0,3.2,0,60,65,18,39,61,112,"11,557"
634,Qatar                                                                                                                                                 ,2023,100,15.6,4.7,3.1,10.5,0,1.3,17.2,0.2,0.7,0.2,0,200,100,16,5,110,131,"7,848"
643,Russian Federation                                                                                                                                    ,2023,100,7.5,6.6,3.4,15.9,9.1,8.8,1.6,1.5,0.6,1,0,207,197,234,254,104,114,"13,232"
