"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malta,  465.3,  542.3,  581.9,  651.3,  416.1,  561.9,  844.0,  857.8,1  174.0,1  805.5,2  263.2,2  367.8,2  351.2,3  306.1,16  990.5,38  716.0,61  690.0,111  755.9,117  077.2,125  192.5,129  770.3,146  146.3,165  509.8,183  811.1,173  342.6,166  918.0,172  137.0,205  536.4,206  058.5,211  134.5,240  950.1,478  833.3,491  467.3,725  714.9
Netherlands,71  827.8,75  404.4,73  918.5,73  177.4,90  406.8,110  755.9,127  384.2,125  099.6,164  225.7,192  228.1,243  732.9,282  881.4,349  968.7,458  223.6,519  479.1,479  420.5,552  748.0,767  456.3,647  414.1,646  288.1,588  076.8,610  677.1,663  302.7,779  056.2,1453  322.2,1288  454.8,1305  961.0,1518  092.6,1480  918.6,1465  759.3,2809  748.1,2840  794.9,2775  590.7,2678  218.3
Poland,  109.0,  425.0,1  370.0,2  307.0,3  789.2,7  843.2,11  462.7,14  587.0,22  461.2,26  075.0,33  476.7,40  394.5,47  295.4,56  109.8,84  102.1,86  345.5,115  791.8,164  370.1,148  417.3,167  399.0,187  602.2,164  424.4,198  953.3,229  166.8,211  483.9,185  986.4,188  733.6,240  382.2,229  527.2,240  586.4,256  007.8,272  242.6,268  018.5,335  539.5
Portugal,9  603.8,11  685.4,13  201.3,16  163.3,17  274.1,18  591.7,20  640.5,22  609.8,30  089.3,26  911.2,34  223.7,38  187.8,50  997.9,70  799.0,58  919.3,56  710.9,77  177.2,95  865.9,79  368.8,92  494.5,90  899.6,92  307.2,105  736.6,132  121.1,123  733.1,123  506.9,122  728.9,152  165.4,147  833.8,157  845.7,176  300.6,177  801.4,177  164.6,195  340.1
Romania,  0.0,  44.0,  122.0,  215.0,  402.0,  821.0,1  097.2,2  416.6,4  527.2,5  674.0,6  953.0,8  339.2,7  846.4,12  202.5,20  486.0,25  383.5,44  516.5,61  609.8,64  758.9,70  340.2,68  699.4,69  512.5,76  328.7,83  628.6,75  273.0,70  398.4,74  568.9,90  967.5,92  887.0,99  200.7,111  387.5,113  586.2,115  133.2,125  554.8
Slovakia,  281.8,  362.8,  462.8,  641.9,  897.1,1  297.1,2  045.6,2  082.8,4  173.9,4  549.1,6  969.9,8  125.0,12  436.9,21  772.7,28  185.4,29  594.7,38  567.1,47  713.3,50  416.3,52  537.3,50  328.1,51  980.4,55  124.3,58  020.3,49  740.8,46  014.2,47  592.7,59  508.9,59  859.9,60  603.7,64  293.1,59  822.2,57  371.9,60  532.5
Slovenia,1  642.9,1  707.8,1  818.8,1  931.4,1  329.4,1  808.4,2  019.3,2  208.2,2  764.6,2  687.3,2  389.0,2  522.1,3  972.5,6  150.5,7  212.8,7  055.8,8  856.4,10  938.7,11  965.8,11  276.8,10  666.7,11  489.9,12  202.7,12  269.2,12  385.8,12  642.0,13  672.1,16  738.4,17  466.1,18  175.1,20  448.1,21  268.1,21  545.0,23  702.0
Spain,65  916.4,79  570.6,71  766.2,76  586.6,93  798.3,105  722.8,110  224.1,106  007.4,126  059.9,125  360.9,156  348.2,177  253.6,257  105.7,339  651.9,407  472.3,384  538.5,461  527.5,585  857.3,588  900.9,632  246.2,628  341.0,628  949.9,592  267.2,638  721.5,587  458.3,553  218.7,554  212.2,669  802.8,690  529.2,713  588.1,798  136.0,799  149.2,812  740.3,897  268.1
Sweden,12  636.0,18  084.8,14  056.5,13  127.0,22  649.6,31  042.6,34  835.1,41  453.6,51  002.6,73  300.8,93  791.2,91  942.0,119  145.5,160  586.9,199  562.5,173  777.4,229  991.8,297  183.2,258  147.8,309  460.1,324  477.7,327  331.6,354  496.1,361  866.8,294  166.2,291  265.6,293  909.8,337  867.4,314  353.1,326  633.9,394  007.6,403  415.7,384  020.5,413  135.3
Other Europe,250  687.9,260  331.3,220  073.8,232  479.7,258  709.5,282  707.2,314  019.6,352  289.3,453  647.5,515  197.4,608  459.2,675  886.6,758  561.9,913  530.0,1106  780.1,1269  186.0,1736  385.4,2198  176.5,1814  921.0,2179  353.3,2469  374.6,2601  346.4,3016  416.4,3149  778.4,2889  770.6,2869  041.4,3128  183.9,3736  277.6,3769  599.4,4063  147.1,4530  168.9,4627  486.9,4438  482.5,4813  195.0
