"Annex table 1. FDI inflows, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnia and Herzegovina,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  66.7,  176.8,  146.1,  118.9,  265.2,  381.1,  511.2,  351.2,  554.7,1  819.2,1  001.6,  249.9,  406.1,  496.5,  394.9,  276.4,  550.2,  361.1,  349.8,  491.9,  581.4,  457.5,  479.6,  683.4,  774.7,  946.0
Iceland,  22.1,  18.3,-  12.7,  0.4,-  1.5,-  9.3,  83.4,  149.5,  152.6,  68.5,  171.2,  173.6,  87.1,  332.1,  725.9,3  071.1,3  843.1,6  824.8,  919.7,  78.8,  245.1,1  107.5,1  025.1,  396.8,  447.1,  708.5,-  427.2,-  41.4,-  381.5,-  225.2,-  928.5,  517.8,  858.9,  977.1
Montenegro,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  71.9,  49.4,  65.4,  500.6,  622.0,  934.4,  960.4,1  527.3,  760.4,  558.1,  619.8,  447.5,  497.7,  699.4,  226.4,  558.6,  489.8,  416.4,  532.3,  698.9,  876.7,  526.2
North Macedonia,  0.0,  0.0,  0.0,  0.0,  24.0,  9.5,  11.2,  58.1,  150.5,  88.4,  215.1,  447.1,  0.0,  113.3,  323.7,  96.0,  432.6,  692.5,  585.8,  201.4,  212.5,  478.8,  142.9,  335.0,  272.5,  240.5,  374.6,  205.3,  725.2,  446.4,  230.1,  556.5,  784.5,  666.8
Norway,1  563.8,  302.3,-  668.1,  991.5,2  776.4,2  409.4,3  211.1,3  981.5,3  934.9,6  790.0,6  408.8,2  505.7,1  192.4,2  450.3,  954.0,-2  273.7,8  061.8,2  168.2,8  958.7,19  477.8,14  005.6,11  390.3,14  652.3,1  791.7,-  93.6,-3  361.7,-3  368.2,-9  779.6,1  044.3,17  022.6,-7  990.3,3  825.3,9  643.6,7  960.0
Republic of Moldova,  0.0,  0.0,  17.0,  14.0,  12.0,  66.9,  23.7,  78.7,  75.5,  37.9,  127.5,  103.4,  84.1,  73.8,  146.2,  190.7,  258.5,  541.3,  711.5,  274.1,  293.0,  359.7,  241.4,  233.2,  341.7,  237.3,  83.2,  151.6,  312.8,  522.8,  150.0,  404.3,  591.4,  428.4
Russian Federation,  0.0,  0.0,1  161.0,1  210.8,  689.6,2  065.7,2  579.3,4  864.6,2  761.4,3  285.9,2  651.1,2  808.3,3  425.0,7  754.8,15  283.8,14  375.1,37  441.6,54  921.9,75  855.7,27  752.3,31  668.0,36  867.8,30  187.7,53  397.1,29  151.7,11  857.8,37  175.8,25  953.5,13  227.6,32  075.6,10  409.9,38  638.9,-15  204.6,8  363.5
Serbia,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  740.0,  113.0,  112.0,  51.8,  177.4,  490.6,1  467.0,  958.5,1  577.0,4  255.7,4  405.9,3  971.9,2  896.1,1  686.1,4  932.3,1  298.6,2  053.1,1  998.8,2  347.6,2  352.0,2  878.3,4  090.5,4  269.8,3  468.5,4  589.6,4  598.4,4  870.1
Serbia and Montenegro,  0.0,  0.0,  125.7,  96.1,  62.6,  45.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Switzerland,5  483.9,2  642.3,  411.0,-  83.2,3  367.0,2  222.5,3  078.5,6  635.8,8  940.8,11  718.6,19  854.6,9  389.1,6  864.3,17  305.5,1  845.8,-  266.9,44  598.4,33  538.2,16  214.9,29  934.9,29  875.9,26  414.9,29  483.0,1  154.9,9  340.1,65  063.3,88  472.4,128  156.5,-100  954.2,-84  435.8,-49  570.2,-76  785.0,-43  248.0,13  506.8
