"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other developed economies,  494,  476,  443,  488,  569,  693,  657,  783,  819,  813,  871,  937,  794,  875,  925, 1 099, 1 007,  748,  809,  945,  895
Australia,  192,  160,  146,  164,  235,  288,  310,  398,  419,  447,  398,  471,  391,  410,  421,  491,  449,  326,  349,  447,  413
Israel,  18,  17,  23,  34,  21,  45,  23,  31,  40,  28,  45,  33,  32,  36,  77,  92,  80,  47,  80,  76,  35
Japan,  136,  168,  127,  165,  196,  217,  179,  195,  152,  160,  217,  240,  188,  215,  253,  297,  264,  217,  200,  225,  219
New Zealand,  32,  24,  22,  30,  30,  44,  39,  36,  61,  54,  57,  45,  71,  61,  50,  63,  90,  67,  70,  77,  76
Republic of Korea,  115,  107,  124,  93,  83,  99,  105,  121,  146,  121,  153,  144,  112,  152,  123,  152,  122,  87,  107,  116,  150
Bermuda,  1,-,  1,  2,  4,-,  1,  2,  1,  3,  1,  4,-,  1,  1,  4,  2,  4,  3,  4,  2
Developing economies, 4 528, 4 878, 4 574, 5 604, 5 432, 8 155, 7 030, 6 883, 8 024, 7 287, 7 613, 6 982, 6 420, 6 445, 6 162, 7 707, 7 556, 4 398, 5 076, 6 949, 8 007
Africa,  336,  273,  446,  471,  414,  887,  770,  715,  957,  890,  936,  802,  800,  686,  694,  809, 1 107,  574,  558,  775,  830
North Africa,  135,  110,  205,  199,  196,  363,  271,  235,  246,  214,  168,  170,  176,  199,  227,  227,  321,  134,  144,  261,  266
Algeria,  23,  19,  44,  50,  29,  75,  32,  21,  27,  18,  16,  15,  13,  17,  22,  20,  23,  6,  10,  4,  10
Egypt,  43,  34,  47,  55,  54,  84,  108,  79,  54,  65,  49,  60,  67,  79,  94,  100,  149,  53,  66,  163,  139
Libya,  4,  7,  13,  12,  21,  37,  17,  19,  5,  10,  12,  3,-,-,-,  3,  2,  1,  2,  5,  2
Morocco,  39,  36,  58,  46,  60,  97,  50,  55,  97,  69,  51,  74,  75,  82,  92,  80,  114,  62,  52,  71,  100
South Sudan,  2,  2,  2,  3,  2,  6,  6,  6,  15,  12,  18,  3,-,  1,-,-,-,-,  1,  2,  2
Sudan,  7,  3,  7,  7,-,  7,  6,  6,  5,  8,  2,  3,  8,  2,-,  3,  2,  2,  5,  2,-
Tunisia,  17,  9,  34,  26,  30,  57,  52,  49,  43,  32,  20,  12,  13,  18,  19,  21,  31,  10,  8,  14,  13
Other Africa,  201,  163,  241,  272,  218,  524,  499,  480,  711,  676,  768,  632,  624,  487,  467,  582,  786,  440,  414,  514,  564
Central Africa,  8,  4,  18,  15,  22,  43,  55,  30,  56,  44,  63,  49,  54,  37,  29,  41,  64,  36,  31,  27,  42
