"Annex table 6. Value of net cross-border M&As by region/economy of purchaser, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-  100.1,-,-,-,-,-,  2.8,  55.0
Andorra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  37.8,-,-,-,-,-,-,  165.7,-,-,  237.3,-,-,-,-,-  11.1,-,-,-,-
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  162.9,-,-,-,-,-,  3.1,-,-,  0.4,-
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.4,-,-,-,-,-,-,-,-,  1.3,-,-,-,-,-,-,-,-,-,-,-
Faeroe Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  12.7,  35.3,-,-,-,-,  4.1,  581.3,-,-,-,  5.6
Gibraltar,-,  3.1,-,-,-,-,-,-,-,-,  18.3,-,  0.4,-  2.8,-,  12.5,  404.0,  115.7,-  12.9,  253.0,  7.8, 1 757.0,-  527.0,-  48.3,  0.5,-  21.9,  4.9,-  254.0,-  41.9,  22.5,-,-, 2 633.7,-
Guernsey,-,-,-,-,-,-,-,  16.5,-,  242.7,-  698.8, 2 610.4,  8.6,-  240.2,  917.7, 2 119.6, 2 813.4, 7 383.3,  889.9, 4 171.4, 10 338.0,- 1 183.3, 1 967.8,- 2 515.2,-  794.2,- 1 743.4,-  282.9, 1 260.2,- 4 285.4, 6 555.3,- 3 738.8,-  170.5, 3 035.6,  545.5
Holy See,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-  226.5,-
Iceland,-,-,  6.7,-,-,-,-,-,-,-,  154.2,  161.3,  155.6,  397.8, 2 719.4, 4 554.4, 2 178.9, 4 769.8,  744.2,-  805.6,-  220.6,-  437.0,- 2 558.6,  126.4,-,-,  223.7,-  87.6,  0.5,  299.9,  2.7,  115.6, 1 061.6,-
Isle of Man,-,-,-,-,-,-,-,-,-,-,  7.7,  57.4,  5.9,  46.4,  31.3,  556.1,  882.9,  534.6,  246.8,  137.5,  851.9,-  735.6,-  161.8,-  799.5,  910.2, 1 866.7, 2 549.6, 3 400.7, 6 524.9,  117.1,-  348.9,  316.3,-  201.8,  214.7
