Corruption Perceptions Index 2023: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Indonesia,IDN,AP,34,115,1.80,8,31,37,,,37,37,,47,40,29,32,25,,,24
Malawi,MWI,SSA,34,115,1.42,9,32,36,39,,33,20,,47,,,32,29,35,38,34
Philippines,PHL,AP,34,115,1.21,9,32,36,,,33,37,,35,31,36,41,25,,41,24
Sri Lanka,LKA,AP,34,115,0.62,8,33,35,,,33,37,,35,,,32,38,35,30,33
Turkey,TUR,ECA,34,115,1.57,9,31,37,,26,33,37,,47,44,,32,20,,36,33
Angola,AGO,SSA,33,121,2.81,7,28,38,,,33,20,,47,,,39,41,,19,29
Mongolia,MNG,AP,33,121,1.05,7,31,35,,,37,37,,35,33,,33,25,,,33
Peru,PER,AME,33,121,1.40,8,31,35,,,45,37,,35,24,,32,28,,32,31
Uzbekistan,UZB,ECA,33,121,2.12,9,30,36,,,29,20,24,35,,,48,19,35,49,37
Niger,NER,SSA,32,125,1.50,7,30,34,39,,29,,,35,,,24,38,35,,28
El Salvador,SLV,AME,31,126,1.26,7,29,33,,,29,37,,35,,,32,22,,30,32
Kenya,KEN,SSA,31,126,1.54,9,28,34,29,,29,20,,35,,,41,36,43,28,22
Mexico,MEX,AME,31,126,1.56,9,28,34,,44,29,37,,22,29,,24,41,,30,21
Togo,TGO,SSA,31,126,1.15,7,29,33,29,,25,,,35,,,32,27,35,,36
Djibouti,DJI,SSA,30,130,1.71,5,27,33,27,,25,,,35,,,,28,35,,
Eswatini,SWZ,SSA,30,130,5.90,3,20,40,,,17,,,35,,,,38,,,
Mauritania,MRT,SSA,30,130,1.65,6,27,33,27,,33,,,35,,,,22,35,,26
Bolivia,BOL,AME,29,133,2.31,7,25,33,,,37,37,,35,,,30,29,,15,19
Pakistan,PAK,AP,29,133,2.09,8,26,32,,,21,20,,35,,,32,20,35,45,25
Papua New Guinea,PNG,AP,29,133,1.76,6,26,32,,,33,20,,35,,,32,25,27,,
Gabon,GAB,SSA,28,136,2.32,6,24,32,,,33,37,,35,,,24,19,,,23
Laos,LAO,AP,28,136,2.44,4,24,32,,,21,,,35,,,,29,27,,
Mali,MLI,SSA,28,136,1.49,8,26,30,37,,29,,,35,,,32,21,27,30,18
Paraguay,PRY,AME,28,136,1.84,6,25,31,,,33,37,,22,,,25,23,,,27
Cameroon,CMR,SSA,27,140,1.65,9,24,30,34,,29,20,,35,,,24,15,35,37,18
Guinea,GIN,SSA,26,141,1.69,7,23,29,27,,33,,,35,,,24,16,27,,22
Kyrgyzstan,KGZ,ECA,26,141,1.69,7,23,29,,,21,,27,22,,,,20,27,39,25
Russia,RUS,ECA,26,141,1.47,7,24,28,,,25,20,21,35,,,24,25,,,32
Uganda,UGA,SSA,26,141,1.30,8,24,28,27,,29,37,,22,,,24,25,27,,18
Liberia,LBR,SSA,25,145,1.64,7,22,28,34,,25,,,22,,,32,18,27,,19
Madagascar,MDG,SSA,25,145,1.53,7,22,28,27,,29,,,35,,,24,21,27,,17
Mozambique,MOZ,SSA,25,145,1.91,8,22,28,14,,25,20,,22,,,40,33,18,,24
Nigeria,NGA,SSA,25,145,1.64,8,22,28,,,33,20,,22,,,26,12,35,25,23
Bangladesh,BGD,AP,24,149,1.51,8,22,26,,,21,20,,22,,,34,12,27,30,22
Central African Republic,CAF,SSA,24,149,0.99,5,22,26,24,,25,,,22,,,,20,27,,
Iran,IRN,MENA,24,149,2.63,6,20,28,,,13,20,,35,,,22,22,,,34
Lebanon,LBN,MENA,24,149,1.12,6,22,26,,,21,20,,22,,,29,23,,,27
Zimbabwe,ZWE,SSA,24,149,1.30,9,22,26,19,,21,37,,22,,,15,20,27,31,26
Azerbaijan,AZE,ECA,23,154,2.46,6,19,27,,,29,20,21,35,,,24,12,,,
Guatemala,GTM,AME,23,154,1.36,7,21,25,,,17,20,,22,,,24,20,,32,26
Honduras,HND,AME,23,154,0.53,8,22,24,,,25,20,,22,,,24,24,27,20,24
Iraq,IRQ,MENA,23,154,4.14,5,16,30,,,37,20,,10,,,32,15,,,
Cambodia,KHM,AP,22,158,2.90,7,17,27,,,13,20,,35,,39,,14,18,,12
